Wavelength,Retardance,Lower Bound Error,Upper Bound Error
1400,0.4266053904292495,0.003527318672976454,0.003692211613241403
1500,0.42257817399674064,0.004446992675939954,0.004695531706857103
1550,0.12013862538752362,0.002049014056777876,0.0020213457469131224
1600,0.3360912953098506,0.0020350544531648196,0.002050807873395122
1620,0.1636697902480526,0.003023504174966385,0.002989268795724559
1650,0.1980793307757903,0.002068694684146194,0.0020596368869884585
1750,0.2202950743586517,0.0030143270849519455,0.003003582987020359
1900,0.13915564112263254,0.0025451850188947245,0.0025115906169187185
2000,0.1272742085609654,0.002636390725536647,0.0025946121932405863
